Starting to train the tabular agent...
10000 episodes.
Episode: 7900 | Score: 136.0 | Avg100: 106.1 | Epsilon: 0.047 | LR: 0.1347 | States: 488
Episode: 8000 | Score: 186.0 | Avg100: 127.0 | Epsilon: 0.045 | LR: 0.1341 | States: 489
Episode: 8100 | Score: 85.0 | Avg100: 120.9 | Epsilon: 0.044 | LR: 0.1334 | States: 490
Episode: 8200 | Score: 231.0 | Avg100: 113.9 | Epsilon: 0.043 | LR: 0.1327 | States: 490
Episode: 8300 | Score: 134.0 | Avg100: 117.2 | Epsilon: 0.041 | LR: 0.1321 | States: 492
Episode: 8400 | Score: 149.0 | Avg100: 137.3 | Epsilon: 0.040 | LR: 0.1314 | States: 493
Episode: 8500 | Score: 243.0 | Avg100: 125.3 | Epsilon: 0.039 | LR: 0.1308 | States: 494
Episode: 8600 | Score: 69.0 | Avg100: 128.6 | Epsilon: 0.038 | LR: 0.1301 | States: 494
Episode: 8700 | Score: 61.0 | Avg100: 138.2 | Epsilon: 0.037 | LR: 0.1295 | States: 495
Episode: 8800 | Score: 408.0 | Avg100: 132.2 | Epsilon: 0.036 | LR: 0.1288 | States: 496
Episode: 8900 | Score: 229.0 | Avg100: 156.4 | Epsilon: 0.035 | LR: 0.1282 | States: 497
Episode: 9000 | Score: 373.0 | Avg100: 156.1 | Epsilon: 0.034 | LR: 0.1275 | States: 498
Episode: 9100 | Score: 107.0 | Avg100: 133.6 | Epsilon: 0.033 | LR: 0.1269 | States: 499
Episode: 9200 | Score: 161.0 | Avg100: 150.4 | Epsilon: 0.032 | LR: 0.1263 | States: 500
Episode: 9300 | Score: 251.0 | Avg100: 131.3 | Epsilon: 0.031 | LR: 0.1256 | States: 501
Episode: 9400 | Score: 147.0 | Avg100: 161.2 | Epsilon: 0.030 | LR: 0.1250 | States: 501
Episode: 9500 | Score: 294.0 | Avg100: 134.5 | Epsilon: 0.029 | LR: 0.1244 | States: 505
Episode: 9600 | Score: 269.0 | Avg100: 148.1 | Epsilon: 0.028 | LR: 0.1238 | States: 505
Episode: 9700 | Score: 31.0 | Avg100: 164.3 | Epsilon: 0.027 | LR: 0.1231 | States: 505
Episode: 9800 | Score: 342.0 | Avg100: 151.9 | Epsilon: 0.026 | LR: 0.1225 | States: 505
Episode: 9900 | Score: 98.0 | Avg100: 159.5 | Epsilon: 0.026 | LR: 0.1219 | States: 506
Episode: 10000 | Score: 47.0 | Avg100: 163.2 | Epsilon: 0.025 | LR: 0.1213 | States: 507

Duration: 10 minutes
